#,Country,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population 2023,GDP per capita,Share of World GDP
1,United States,"$27,720,700,000,000",27.721 trillion,2.89%,"343,477,335","$80,706",26.11%
2,China,"$17,794,800,000,000",17.795 trillion,5.25%,"1,422,584,933","$12,509",16.76%
3,Germany,"$4,525,700,000,000",4.526 trillion,â0.27%,"84,548,231","$53,528",4.26%
4,Japan,"$4,204,490,000,000",4.204 trillion,1.68%,"124,370,947","$33,806",3.96%
5,India,"$3,567,550,000,000",3.568 trillion,8.15%,"1,438,069,596","$2,481",3.36%
6,United Kingdom,"$3,380,850,000,000",3.381 trillion,0.34%,"68,682,962","$49,224",3.18%
7,France,"$3,051,830,000,000",3.052 trillion,0.94%,"66,438,822","$45,934",2.87%
8,Italy,"$2,300,940,000,000",2.301 trillion,0.7%,"59,499,453","$38,672",2.17%
9,Brazil,"$2,173,670,000,000",2.174 trillion,2.91%,"211,140,729","$10,295",2.05%
10,Canada,"$2,142,470,000,000",2.142 trillion,1.25%,"39,299,105","$54,517",2.02%
11,Russia,"$2,021,420,000,000",2.021 trillion,3.6%,"145,440,500","$13,899",1.90%
12,Mexico,"$1,789,110,000,000",1.789 trillion,3.2%,"129,739,759","$13,790",1.69%
13,Australia,"$1,728,060,000,000",1.728 trillion,3.44%,"26,451,124","$65,330",1.63%
14,South Korea,"$1,712,790,000,000",1.713 trillion,1.36%,"51,748,739","$33,098",1.61%
15,Spain,"$1,620,090,000,000",1.62 trillion,2.68%,"47,911,579","$33,814",1.53%
16,Indonesia,"$1,371,170,000,000",1.371 trillion,5.05%,"281,190,067","$4,876",1.29%
17,Netherlands,"$1,154,360,000,000",1.154 trillion,0.07%,"18,092,524","$63,803",1.09%
18,Turkey,"$1,118,250,000,000",1.118 trillion,5.11%,"87,270,501","$12,814",1.05%
19,Saudi Arabia,"$1,067,580,000,000",1.068 trillion,â0.76%,"33,264,292","$32,094",1.01%
20,Switzerland,"$884,940,000,000",884.94 billion,0.72%,"8,870,561","$99,761",0.83%
21,Poland,"$809,201,000,000",809.201 billion,0.14%,"38,762,844","$20,876",0.76%
22,Argentina,"$646,075,000,000",646.075 billion,â1.61%,"45,538,401","$14,187",0.61%
23,Belgium,"$644,783,000,000",644.783 billion,1.25%,"11,712,893","$55,049",0.61%
24,Sweden,"$584,960,000,000",584.96 billion,â0.31%,"10,551,494","$55,439",0.55%
25,Ireland,"$551,395,000,000",551.395 billion,â5.53%,"5,196,630","$106,106",0.52%
26,Thailand,"$514,969,000,000",514.969 billion,1.89%,"71,702,435","$7,182",0.49%
27,United Arab Emirates,"$514,130,000,000",514.13 billion,3.62%,"10,642,081","$48,311",0.48%
28,Israel,"$513,611,000,000",513.611 billion,2.42%,"9,256,314","$55,488",0.48%
29,Austria,"$511,685,000,000",511.685 billion,â0.95%,"9,130,429","$56,042",0.48%
30,Singapore,"$501,428,000,000",501.428 billion,1.07%,"5,789,090","$86,616",0.47%
31,Norway,"$485,311,000,000",485.311 billion,0.48%,"5,519,167","$87,932",0.46%
32,Bangladesh,"$437,415,000,000",437.415 billion,5.78%,"171,466,990","$2,551",0.41%
33,Philippines,"$437,146,000,000",437.146 billion,5.55%,"114,891,199","$3,805",0.41%
34,Vietnam,"$429,717,000,000",429.717 billion,5.05%,"100,352,192","$4,282",0.40%
35,Denmark,"$407,092,000,000",407.092 billion,2.5%,"5,948,136","$68,440",0.38%
36,Iran,"$404,626,000,000",404.626 billion,5.04%,"90,608,707","$4,466",0.38%
37,Malaysia,"$399,705,000,000",399.705 billion,3.56%,"35,126,298","$11,379",0.38%
38,Egypt,"$396,002,000,000",396.002 billion,3.76%,"114,535,772","$3,457",0.37%
39,Hong Kong,"$380,812,000,000",380.812 billion,3.28%,"7,442,734","$51,166",0.36%
40,South Africa,"$380,699,000,000",380.699 billion,0.7%,"63,212,384","$6,023",0.36%
41,Nigeria,"$363,846,000,000",363.846 billion,2.86%,"227,882,945","$1,597",0.34%
42,Colombia,"$363,494,000,000",363.494 billion,0.61%,"52,321,152","$6,947",0.34%
43,Romania,"$350,776,000,000",350.776 billion,2.4%,"19,118,479","$18,347",0.33%
44,Czech Republic (Czechia),"$343,208,000,000",343.208 billion,â0.09%,"10,809,716","$31,750",0.32%
45,Pakistan,"$337,912,000,000",337.912 billion,â0.04%,"247,504,495","$1,365",0.32%
